Country Name,Year,Log of GDP per capita,Life Expectancy at 0 Log,Life Expectancy at 40 Log,Life Expectancy at 60 Log,Life Expectancy at 65 Log,Life Expectancy at 80 Log
Italy,2000,10.82591714657886,4.379248388670024,3.717223927123079,3.128951117340214,2.928523523860541,2.145931282948669
Italy,2001,10.845221167282384,4.383610745183037,3.724487881581304,3.1419947805322432,2.9444389791664403,2.163323025660538
Italy,2002,10.846427662651271,4.38488838956942,3.724487881581304,3.139832617527748,2.9391619220655967,2.145931282948669
Italy,2003,10.84264790680231,4.38181319727274,3.717223927123079,3.1245651453969594,2.920469789053444,2.0856720914304723
Italy,2004,10.850808715313825,4.391735448740456,3.735285826928092,3.1570004211501135,2.9601050959108397,2.157559320943788
Italy,2005,10.853490014791042,4.391765641590808,3.734091796935484,3.152736022363656,2.954910279033736,2.134166441369082
Italy,2006,10.868319227050419,4.397935992409217,3.744787086052232,3.1717842173343502,2.9780773383152703,2.174751721484161
Italy,2007,10.877786926403816,4.399794673254303,3.7483269127573564,3.1780538303479458,2.9856819377004893,2.180417459019838
Italy,2008,10.860878148737147,4.400423444001269,3.7495040759303713,3.1801349965517702,2.9856819377004893,2.180417459019838
Italy,2009,10.80181140209874,4.402277511613726,3.753027273937688,3.184284380098582,2.9932291433358724,2.191653532286764
Italy,2010,10.813910817644542,4.407165310811895,3.7612001156935624,3.1986731175506815,3.005682604407159,2.2192034840549946
Italy,2011,10.81912159403635,4.409006931931743,3.764682417529437,3.204776900488699,3.013080911888604,2.235376343300596
Italy,2012,10.784675018413372,4.409629938674427,3.764682417529437,3.202746442938317,3.0106208860477417,2.2192034840549946
Italy,2013,10.754734965163582,4.415101625300411,3.7750571503549883,3.2188758248682006,3.0325462466767075,2.2669579153508943
Italy,2014,10.7455460476745,4.419927293043866,3.783052624131186,3.2308043957334744,3.044522437723423,2.2874714551839976
Italy,2015,10.755327495104162,4.413330302586496,3.770459441106359,3.2108436531709366,3.0228609409422433,2.2300144001592104
Italy,2016,10.769312758696115,4.421774882214119,3.7853253523821886,3.2347491740244907,3.0516399054922867,2.2925347571405443
Italy,2017,10.786721135092082,4.418193910299106,3.7784916128036232,3.2228678461377385,3.034952986707272,2.2512917986064953
Italy,2018,10.796854258478128,4.423004714532187,3.7875929270499693,3.2386784521643803,3.054001181677967,2.2874714551839976
Italy,2019,10.812666985353822,4.424817421609835,3.7909846770510898,3.2406373166497136,3.058707072715379,2.2925347571405443
Italy,2020,10.724674327740505,4.4090959566272625,3.758871825933971,3.188416617383492,2.995732273553991,2.186051276738094
Latvia,2000,9.584736677212126,4.2529799442936715,3.5040547671018634,2.8820035082256483,2.6775909936175015,1.8718021769015913
Latvia,2001,9.660256076219719,4.259307656788397,3.5040547671018634,2.8820035082256483,2.6775909936175015,1.8718021769015913
Latvia,2002,9.745733371222412,4.262130086638491,3.5040547671018634,2.8820035082256483,2.6775909936175015,1.8718021769015913
Latvia,2003,9.83632401839798,4.266417301906408,3.505557396986398,2.8820035082256483,2.6741486494265287,1.8562979903656263
